Fecha,url,Plataforma,Performance,Accesibility,Best Practices,SEO,First Contentful Paint (FCP),Total Blocking Time (TBT),Speed Index (SI),Largest Contentful Paint (LCP),Cumulative Layout Shift (CLS),First Input Delay (FID),Interaction to Next Paint (INP),Time to First Byte (TTFB)
2024-01-23 09:27:55,https://www.pulzo.com,mobile,0.45,0.82,0.93,0.91,2.6 s,"3,210 ms",7.7 s,4.3 s,0.009,0.034,17.1 s,0.452
2024-01-23 09:30:12,https://www.pulzo.com,desktop,0.92,0.88,1.0,0.83,0.8 s,160 ms,1.2 s,1.4 s,0.004,0.004,3.4 s,0.369
2024-01-23 09:33:44,https://www.infobae.com/colombia/,mobile,0.43,0.95,0.52,1,2.3 s,"6,100 ms",12.6 s,4.4 s,0,0.021,35.0 s,0.546
2024-01-23 09:46:32,https://www.elpais.com.co/,mobile,0.26,0.81,0.56,0.85,4.9 s,"4,500 ms",12.9 s,8.8 s,0.027,0.018,27.0 s,0.458
2024-01-23 09:47:11,https://www.elpais.com.co/,desktop,0.67,0.85,0.78,0.83,1.4 s,400 ms,3.3 s,1.4 s,0.009,0.003,4.6 s,0.46
2024-01-23 09:49:20,https://www.eltiempo.com,mobile,0.28,0.89,0.89,0.91,3.6 s,"4,790 ms",12.7 s,15.5 s,0.007,0.02,27.3 s,0.36
2024-01-23 09:57:48,https://www.eltiempo.com,desktop,0.39,0.89,0.89,0.92,0.9 s,"1,260 ms",3.1 s,4.4 s,0.071,0.006,6.2 s,0.224
2024-01-23 09:58:24,https://www.bluradio.com,mobile,0.33,0.96,0.52,0.92,3.5 s,"3,820 ms",6.2 s,11.7 s,0.011,0.061,18.4 s,0.42
2024-01-23 09:58:50,https://www.bluradio.com,desktop,0.7,0.96,0.56,0.92,1.1 s,70 ms,1.6 s,2.5 s,0.258,0.009,4.0 s,0.266
2024-01-23 09:59:28,https://www.theguardian.com/international,mobile,0.41,0.91,1.0,0.98,3.2 s,"2,720 ms",7.0 s,4.8 s,0.002,0.019,17.6 s,0.298
2024-01-23 10:00:23,https://www.theguardian.com/international,desktop,0.51,0.92,0.56,1.0,0.7 s,990 ms,2.8 s,1.1 s,0.241,0.005,6.5 s,0.238
2024-01-23 10:01:35,https://elcomercio.pe,mobile,0.18,0.71,0.67,0.84,2.2 s,"5,570 ms",10.5 s,10.7 s,0.301,0.021,23.8 s,0.501
2024-01-23 10:03:57,https://elcomercio.pe,desktop,0.59,0.76,0.7,0.83,0.6 s,720 ms,2.5 s,2.0 s,0.036,0.003,5.6 s,0.401
2024-01-23 15:23:44,https://www.pulzo.com,mobile,0.45,0.82,0.96,0.91,2.6 s,"1,940 ms",9.5 s,4.3 s,0.009,34,279,452
2024-01-23 15:25:01,https://www.pulzo.com,desktop,0.94,0.88,0.96,0.83,0.7 s,80 ms,1.4 s,1.3 s,0.004,4,61,369
2024-01-23 15:26:07,https://www.infobae.com/colombia/,mobile,0.46,0.99,0.7,1,2.0 s,"3,260 ms",11.6 s,4.1 s,0,21,166,546
2024-01-23 15:28:22,https://www.infobae.com/colombia/,desktop,0.75,0.99,0.7,1,0.9 s,320 ms,3.0 s,1.4 s,0,3,44,395
2024-01-23 15:29:17,https://www.elpais.com.co/,mobile,0.27,0.81,0.56,0.85,5.0 s,"9,280 ms",12.0 s,9.3 s,0.032,18,347,458
2024-01-23 15:30:01,https://www.elpais.com.co/,desktop,0.6,0.85,0.81,0.83,1.5 s,480 ms,3.5 s,1.7 s,0.012,3,79,460
2024-01-23 15:31:27,https://www.eltiempo.com,mobile,0.29,0.89,0.89,0.91,3.3 s,"15,260 ms",12.0 s,20.1 s,0.007,20,520,360
2024-01-23 15:32:41,https://www.eltiempo.com,desktop,0.51,0.89,0.89,0.92,1.0 s,450 ms,2.8 s,3.9 s,0.071,6,152,224
2024-01-23 15:33:21,https://www.bluradio.com,mobile,0.33,0.96,0.89,0.92,3.6 s,"5,850 ms",6.1 s,14.3 s,0.011,61,246,420
2024-01-23 15:34:11,https://www.bluradio.com,desktop,0.59,0.96,0.56,0.92,0.9 s,250 ms,2.1 s,2.5 s,0.266,9,108,266
2024-01-24 09:03:08,https://www.pulzo.com,mobile,0.41,0.82,0.96,0.91,2.6 s,"1,850 ms",7.9 s,5.6 s,0.009,0.033,279,0.45
2024-01-24 09:14:34,https://www.pulzo.com,desktop,0.88,0.84,0.96,0.83,0.7 s,220 ms,1.1 s,1.3 s,0.001,0.004,61,0.365
2024-01-24 09:19:02,https://www.infobae.com/colombia/,mobile,0.38,0.95,0.52,1,2.5 s,"4,350 ms",13.8 s,5.1 s,0,0.021,165,0.544
2024-01-24 09:20:22,https://www.infobae.com/colombia/,desktop,0.75,0.99,0.7,1,0.5 s,370 ms,2.8 s,1.1 s,0,0.003,44,0.389
2024-01-24 09:20:58,https://www.elpais.com.co/,mobile,0.3,0.81,0.52,0.85,5.3 s,"6,110 ms",13.6 s,5.6 s,0.031,0.018,346,0.457
2024-01-24 09:21:38,https://www.elpais.com.co/,desktop,0.59,0.85,0.81,0.83,1.2 s,820 ms,3.2 s,1.4 s,0.01,0.003,79,0.461
2024-01-24 09:23:04,https://www.eltiempo.com,mobile,0.29,0.89,0.89,0.9,3.3 s,"11,400 ms",11.3 s,19.6 s,0.007,0.02,520,0.359
2024-01-24 09:24:29,https://www.eltiempo.com,desktop,0.39,0.89,0.89,0.92,1.0 s,"1,010 ms",3.5 s,4.4 s,0.071,0.006,152,0.223
2024-01-24 09:25:07,https://www.bluradio.com,mobile,0.33,0.96,0.52,0.92,3.6 s,"4,120 ms",6.4 s,13.0 s,0.001,0.062,246,0.418
2024-01-24 09:25:47,https://www.bluradio.com,desktop,0.61,0.96,0.56,0.92,1.0 s,230 ms,1.8 s,2.5 s,0.258,0.009,108,0.266
2024-01-24 09:26:19,https://www.theguardian.com/international,mobile,0.27,0.91,1.0,0.98,3.2 s,"2,060 ms",6.2 s,5.0 s,0.321,0.019,304,0.298
2024-01-24 09:27:16,https://www.theguardian.com/international,desktop,0.48,0.92,0.56,1.0,0.8 s,910 ms,2.7 s,1.1 s,0.301,0.005,107,0.238
2024-01-24 09:29:23,https://elcomercio.pe,mobile,0.34,0.71,0.63,0.84,2.3 s,"4,560 ms",8.5 s,9.8 s,0.002,0.021,218,0.501
2024-01-24 09:32:39,https://elcomercio.pe,desktop,0.88,0.76,0.7,0.83,0.5 s,230 ms,1.9 s,0.8 s,0.041,0.003,40,0.402
2024-01-24 09:35:51,https://www.lanacion.com.ar,mobile,0.47,0.95,0.56,1,2.3 s,"14,250 ms",14.3 s,3.7 s,0.005,0.032,554,0.474
2024-01-24 09:36:46,https://www.lanacion.com.ar,desktop,0.6,0.99,0.56,1,0.5 s,"1,740 ms",4.0 s,0.8 s,0.019,0.008,187,0.38
